City,Latitude,Longitude,AQI
North Bay,46.3092115,-79.4607617,3.0
Holly Hill,29.2435916,-81.0375555,2.0
Bolingbrook,41.7003302,-88.0717708,3.0
Ledyard,43.4215705,-94.1613522,2.0
Berea,41.3661614,-81.8543026,3.0
Tracy,37.7385507,-121.4201395,2.0
Penjamo,20.4313763,-101.724118,2.0
Cerritos,33.8644291,-118.0539323,4.0
El Dorado,33.2115087,-92.6650144,3.0
New Rochelle,40.9115386,-73.7826363,3.0
Chillum,38.9637218,-76.9908093,3.0
Florin,38.4960187,-121.4088416,2.0
Cutler,38.0322733,-89.5656512,3.0
Benton,34.5645372,-92.586828,4.0
Leawood,38.966673,-94.6169012,3.0
San Jose Del Castillo,20.5090885,-103.2370802,2.0
Picayune,30.5254692,-89.6795084,3.0
Spanish Fork,40.1150133,-111.6547774,3.0
East Providence,41.8137116,-71.3700545,3.0
Golden,39.7546349,-105.22058,2.0
Waipahu,21.3866667,-158.009166,2.0
Attleboro,41.9438129,-71.2806515,3.0
Lewiston,46.4195913,-117.0216144,2.0
Hoffman Estates,42.0427256,-88.0792782,3.0
La Orilla,17.9994268,-102.2267673,2.0
Petersburg,59.938732,30.316229,1.0
Grandview,32.2666506,-97.1785429,3.0
Northfield,44.4582041,-93.161159,2.0
Tuskegee,32.4240286,-85.6916195,3.0
South Laurel,39.0698312,-76.8502504,3.0
Littleton,39.613321,-105.016649,2.0
Lake Shore,46.4855226,-94.3605573,2.0
Mattoon,39.4842821,-88.3773279,3.0
Woodridge,41.7563344,-88.045559,3.0
Spruce Grove,53.545204,-113.903503,1.0
Citrus Park,33.5486504,-112.444329,2.0
Vidor,30.1313283,-94.0148021,3.0
Chilpancingo,17.5542149,-99.5048416,3.0
Suffolk,36.7282096,-76.5835703,3.0
Fernandez,-15.6952457,-67.5687311,1.0
Ixtlan Del Rio,21.0380383,-104.3696721,2.0
Newburgh,41.5034271,-74.0104179,2.0
Danvers,42.566751,-70.9368313,3.0
Elmira,42.0897965,-76.8077338,3.0
Orland Park,41.630663,-87.8536288,3.0
Spanish Lake,38.7877405,-90.2150513,4.0
El Llano,9.2171466,-78.9645026,1.0
Ladson,32.9857275,-80.1098123,3.0
Ellensburg,46.9970635,-120.545122,2.0
Yaqui,27.3543499,-110.033094,2.0
Wareham,50.6868972,-2.1098377,2.0
Nogales,38.5865813,-6.7491704,1.0
Fayetteville,36.0625843,-94.1574328,3.0
Elko,40.8324713,-115.763162,2.0
Tantoyuca,21.3514455,-98.2263914,1.0
Pawtucket,41.878711,-71.3825558,3.0
Aldergrove,54.6448939,-6.2429127,2.0
Zacapu,19.8184055,-101.792508,2.0
Prattville,32.4640245,-86.4596966,3.0
Harker Heights,31.0746347,-97.6590473,3.0
Acushnet,41.6806593,-70.907816,4.0
Claremont,34.0966764,-117.7197785,3.0
Kailua,21.393623,-157.743759,2.0
Yautepec,18.8858536,-99.0646636,2.0
Marietta,33.9528472,-84.5496148,3.0
Bryant,40.4661513,-90.0917851,2.0
Cedar City,37.6774238,-113.061827,2.0
Bradford,53.7944229,-1.7519186,2.0
Wheat Ridge,39.766098,-105.0772063,2.0
Sand Springs,36.1394339,-96.1100025,2.0
Middleton,44.942431,-65.0680746,3.0
Hacienda Heights,33.9930677,-117.968675,4.0
Plano,33.0136764,-96.6925096,3.0
Cherry Hill,39.9348351,-75.0307264,3.0
Altamonte Springs,28.6619154,-81.3885899,2.0
Santa Paula,34.3541659,-119.0592705,3.0
La Palma,28.6552318,-17.85732234254766,2.0
Johnson City,36.3134398,-82.3534728,3.0
Greendale,38.6953291,-90.31317,4.0
Ojinaga,29.5494024,-104.416365,2.0
Okemos,42.7221021,-84.4275259,3.0
Uriangato,20.1411134,-101.1781073,2.0
Ramos Arizpe,25.540787,-100.9466688,3.0
Tianguistenco,19.1818062,-99.4680167,2.0
Romulus,42.2222614,-83.3965995,3.0
Little Ferry,40.8528777,-74.0420848,3.0
Pittsfield,42.451302,-73.260018,2.0
Yorba Linda,33.8901096,-117.8249705,4.0
Andover,45.2332985,-93.2913405,2.0
West Point,33.6076186,-88.6503255,3.0
Wilkinsburg,40.4418068,-79.8819609,3.0
Takoma Park,38.9778882,-77.0074765,3.0
Prince Albert,53.201097,-105.748901,2.0
Salaberry De Valleyfield,45.2555575,-74.1316718,2.0
New Iberia,30.0035365,-91.8187285,3.0
Villas,26.550762499999998,-81.86993499200267,2.0
Sedona,34.8629426,-111.8137097,2.0
New Port Richey,28.2441768,-82.7192671,2.0
Magna,40.7031629,-112.081648,2.0
Apatzingan,19.0913792,-102.3537356,2.0
Lake Station,41.5750369,-87.2389246,3.0
Pepperell,42.6676238,-71.5982898,3.0
Sugar Land,29.6196787,-95.6349463,4.0
Chattanooga,35.0457219,-85.3094883,3.0
Leominster,42.5267443,-71.7614891,3.0
Los Reyes,18.6715861,-97.0436089,2.0
Rancho Cucamonga,34.1033192,-117.5751735,2.0
West Babylon,40.7126585,-73.3536779,3.0
Indiana,40.6214551,-79.1525349,3.0
