Lat,Lon,AQI,CO,NH3,NO2,O3,PM10,PM2.5,SO2
27.4956,-81.4409,2,208.62,0.34,1.15,92.98,8.06,2.42,0.78
34.9037,-82.3332,2,273.71,0.66,8.57,61.51,4.95,4.01,1.34
41.8007,-73.1212,2,216.96,0.27,3.47,82.97,1.49,1.16,0.24
48.7595,-122.4882,2,220.3,0.11,2.42,67.95,0.65,0.5,2.03
34.6381,-99.334,2,220.3,0.98,1.19,98.71,5.52,4.68,2.0
25.0865,-80.4473,3,220.3,0.15,2.27,105.86,15.38,3.87,0.57
26.4187,-81.4173,3,210.29,0.26,1.54,104.43,9.47,3.24,0.41
42.3967,-88.1837,2,253.68,0.95,8.05,90.84,4.46,3.5,2.18
42.4334,-71.4495,1,300.41,0.82,18.34,45.78,3.71,2.7,0.18
17.4667,-97.2333,2,163.56,0.11,0.91,62.94,0.71,0.62,0.73
39.9348,-75.0307,1,377.18,2.22,38.04,41.49,6.72,4.85,4.23
44.98,-93.2638,2,243.66,1.66,7.45,90.12,5.27,4.42,2.0
20.1167,-96.9667,2,213.62,0.01,2.25,76.53,9.01,8.6,5.9
47.4848,-122.1123,2,247.0,0.4,6.6,62.94,1.42,0.86,1.43
20.0833,-98.3667,2,166.89,0.47,1.35,60.8,1.63,1.4,0.21
30.2131,-93.2044,2,226.97,0.87,3.13,85.83,3.9,3.3,1.31
39.0639,-108.5507,2,176.91,0.41,0.41,89.41,3.89,1.31,0.22
32.7948,-116.9625,2,236.99,0.54,6.08,94.41,7.69,3.97,2.89
26.6845,-80.6676,3,206.95,0.13,4.8,100.14,10.6,2.85,0.75
36.6828,-101.4816,2,208.62,1.19,0.8,98.71,10.24,8.18,1.25
41.4517,-82.0354,2,220.3,0.0,2.79,95.84,3.32,2.87,4.29
33.7504,-84.2333,2,390.53,1.92,41.47,60.8,13.14,9.81,6.2
19.2719,-99.4589,3,290.39,1.22,9.34,100.14,12.53,10.08,4.41
39.0796,-77.073,2,270.37,1.0,11.65,72.96,3.05,2.1,1.0
32.7668,-96.7836,2,300.41,1.47,16.62,80.82,5.37,3.94,2.24
54.5163,-128.6035,1,205.28,0.0,0.4,55.08,0.59,0.5,0.07
25.6667,-100.4,2,360.49,1.0,14.91,67.23,2.91,2.35,10.73
34.1008,-117.7678,3,377.18,1.01,25.36,123.02,31.77,26.41,8.94
41.762,-72.742,2,270.37,0.75,15.08,72.24,3.16,2.08,1.18
18.55,-99.6,3,494.0,3.55,10.8,128.75,29.96,25.96,5.07
42.214,-71.2245,2,487.33,1.58,63.06,8.58,14.29,8.7,2.15
25.8167,-100.3333,2,257.02,0.71,5.74,74.39,1.91,1.3,3.31
44.28,-88.3184,2,240.33,1.22,4.93,87.26,3.75,3.25,1.1
28.1142,-81.6179,2,223.64,0.4,5.57,94.41,7.06,2.47,1.0
19.9333,-96.8333,2,220.3,0.0,1.93,86.55,6.52,6.29,5.42
26.2173,-80.2259,3,216.96,0.23,3.04,100.14,12.44,3.24,0.67
37.1224,-76.3458,3,247.0,0.34,5.48,100.14,4.78,3.99,3.55
41.0018,-73.6657,2,247.0,0.47,11.48,79.39,3.1,2.39,2.12
44.5236,-89.5746,2,223.64,1.03,3.21,87.26,3.83,2.81,1.55
18.35,-97.3167,2,176.91,0.82,1.1,72.24,1.0,0.81,0.18
41.2456,-89.9248,2,236.99,0.95,1.99,94.41,4.07,3.75,1.18
19.8,-104.2167,2,226.97,0.06,1.41,45.06,12.15,11.53,0.34
21.2,-102.4667,2,198.6,1.31,0.64,79.39,4.04,3.41,0.6
18.6167,-99.1833,3,667.57,2.19,22.62,103.0,40.35,35.8,8.94
41.0545,-76.2333,2,213.62,0.34,1.95,71.53,1.2,1.0,0.27
41.8089,-88.0112,2,267.03,1.09,13.88,83.69,4.27,3.27,2.68
35.3849,-77.9928,2,223.64,1.39,3.68,79.39,1.98,1.55,0.43
37.062,-97.0384,3,220.3,0.9,1.95,103.0,3.74,3.35,7.09
34.2576,-88.7034,2,243.66,0.82,6.0,69.38,4.52,4.01,1.86
39.6428,-84.2866,2,273.71,1.39,9.0,63.66,8.11,5.98,0.52
31.2136,-82.354,2,240.33,1.38,3.26,68.67,2.88,2.41,0.72
34.0336,-117.0431,3,327.11,0.67,13.71,115.87,23.06,19.85,4.17
41.7109,-87.7581,2,300.41,1.49,23.31,74.39,7.16,4.39,6.44
45.3246,-118.0877,2,196.93,0.09,0.62,65.8,0.58,0.5,0.11
53.7939,-1.7521,1,213.62,0.66,12.17,44.7,3.22,2.03,5.31
33.8872,-118.3526,4,297.07,0.47,15.59,143.05,23.62,18.6,7.03
31.6002,-94.6335,2,223.64,3.07,0.96,82.97,7.01,5.93,0.66
29.3686,-94.9713,2,236.99,0.55,5.48,98.71,6.34,5.95,5.07
33.7454,-84.1316,2,480.65,2.69,58.26,48.64,18.13,13.76,3.64
37.2153,-93.2982,2,223.64,0.82,2.79,91.55,1.81,1.48,0.9
